TIMESTAMP,LOCATION_ID,EARNED_POINTS,REDEEM_POINTS
2021-01-27,A-1006,27307,27820
2021-01-27,A-1007,31914,30261
2021-01-27,A-1008,33502,34922
2021-01-28,A-1001,32680,24127
2021-01-28,A-1002,33618,33239
2021-01-28,A-1003,20774,20351
2021-01-28,A-1004,27672,30835
2021-01-28,A-1005,21349,32291
2021-01-28,A-1006,33944,35000
2021-01-28,A-1007,31377,34826
2021-01-28,A-1008,25546,23783
2021-01-29,A-1001,29250,27298
2021-01-29,A-1002,27762,20428
2021-01-29,A-1003,29783,28616
2021-01-29,A-1004,21003,33828
2021-01-29,A-1005,20166,33541
2021-01-29,A-1006,30246,21024
2021-01-29,A-1007,29812,29677
2021-01-29,A-1008,29573,26042
2021-01-30,A-1001,31013,26779
2021-01-30,A-1002,31065,29698
2021-01-30,A-1003,26996,34614
2021-01-30,A-1004,24803,27307
2021-01-30,A-1005,21943,24816
2021-01-30,A-1006,32014,26754
2021-01-30,A-1007,34332,23413
2021-01-30,A-1008,29850,34601
2021-01-31,A-1001,28388,33008
2021-01-31,A-1002,33703,27141
2021-01-31,A-1003,26455,25673
2021-01-31,A-1004,29401,22616
2021-01-31,A-1005,34715,31964
2021-01-31,A-1006,21081,30564
2021-01-31,A-1007,30076,30811
2021-01-31,A-1008,26364,20338
2021-02-01,A-1001,33534,27657
2021-02-01,A-1002,33922,28588
2021-02-01,A-1003,22684,21684
2021-02-01,A-1004,34160,33515
2021-02-01,A-1005,31458,28259
2021-02-01,A-1006,29417,31342
2021-02-01,A-1007,24620,33599
2021-02-01,A-1008,28143,27372
2021-02-02,A-1001,29730,34325
2021-02-02,A-1002,32337,33549
2021-02-02,A-1003,24478,24203
2021-02-02,A-1004,29864,23893
2021-02-02,A-1005,26157,34150
2021-02-02,A-1006,30327,30329
2021-02-02,A-1007,21144,34951
2021-02-02,A-1008,34752,27411
2021-02-03,A-1001,27301,20627
2021-02-03,A-1002,22266,33391
2021-02-03,A-1003,22775,32502
2021-02-03,A-1004,28813,28776
2021-02-03,A-1005,27556,32656
2021-02-03,A-1006,34766,27984
2021-02-03,A-1007,31567,34224
2021-02-03,A-1008,28468,32438
2021-02-04,A-1001,21768,29434
2021-02-04,A-1002,26360,30916
2021-02-04,A-1003,23057,28712
2021-02-04,A-1004,20077,25490
2021-02-04,A-1005,34238,20851
2021-02-04,A-1006,28601,23684
2021-02-04,A-1007,29779,29615
2021-02-04,A-1008,21065,34935
2021-02-05,A-1001,30021,28678
2021-02-05,A-1002,23119,20044
2021-02-05,A-1003,31584,29683
2021-02-05,A-1004,21133,29752
2021-02-05,A-1005,33610,23547
2021-02-05,A-1006,29645,29738
2021-02-05,A-1007,31358,29089
2021-02-05,A-1008,31865,24122
2021-02-06,A-1001,28159,30064
2021-02-06,A-1002,21939,34928
2021-02-06,A-1003,32133,33580
2021-02-06,A-1004,26845,21128
2021-02-06,A-1005,27878,29152
2021-02-06,A-1006,31982,23408
2021-02-06,A-1007,28311,32297
2021-02-06,A-1008,33413,29982
2021-02-07,A-1001,23250,30368
2021-02-07,A-1002,32597,26230
2021-02-07,A-1003,32928,30150
2021-02-07,A-1004,30708,27797
2021-02-07,A-1005,31944,23277
2021-02-07,A-1006,30480,20981
2021-02-07,A-1007,24395,30979
2021-02-07,A-1008,21793,21168
2021-02-08,A-1001,28996,28966
2021-02-08,A-1002,26814,24566
2021-02-08,A-1003,24103,20538
2021-02-08,A-1004,30723,22466
2021-02-08,A-1005,34858,27421
2021-02-08,A-1006,22431,24400
2021-02-08,A-1007,29021,31533
2021-02-08,A-1008,29434,34082
2021-02-09,A-1001,25502,23889
2021-02-09,A-1002,32003,21102
2021-02-09,A-1003,22282,32782
2021-02-09,A-1004,27334,25751
2021-02-09,A-1005,29201,32092
2021-02-09,A-1006,29243,23983
2021-02-09,A-1007,25602,34288
2021-02-09,A-1008,29771,24007
2021-02-10,A-1001,30123,25220
2021-02-10,A-1002,30463,30743
2021-02-10,A-1003,29391,28346
2021-02-10,A-1004,23725,34280
2021-02-10,A-1005,28636,32758
2021-02-10,A-1006,28467,28368
2021-02-10,A-1007,21706,34146
2021-02-10,A-1008,21351,25700
2021-02-11,A-1001,30405,33068
2021-02-11,A-1002,26022,24273
2021-02-11,A-1003,22847,23334
2021-02-11,A-1004,31305,21895
2021-02-11,A-1005,22125,26911
2021-02-11,A-1006,28255,27346
2021-02-11,A-1007,32028,22333
2021-02-11,A-1008,33712,27269
2021-02-12,A-1001,22894,26902
2021-02-12,A-1002,25263,30982
2021-02-12,A-1003,22319,30490
2021-02-12,A-1004,30109,22799
2021-02-12,A-1005,22614,25878
2021-02-12,A-1006,23647,32923
2021-02-12,A-1007,21806,24847
2021-02-12,A-1008,22587,26382
2021-02-13,A-1001,31497,25910
2021-02-13,A-1002,24687,24086
2021-02-13,A-1003,20850,28980
2021-02-13,A-1004,32140,21228
2021-02-13,A-1005,26902,31625
2021-02-13,A-1006,33728,24149
2021-02-13,A-1007,28725,32870
2021-02-13,A-1008,28704,23324
2021-02-14,A-1001,20045,30994
2021-02-14,A-1002,34573,20321
2021-02-14,A-1003,31931,30403
2021-02-14,A-1004,24233,26640
2021-02-14,A-1005,22831,31204
2021-02-14,A-1006,27831,28864
2021-02-14,A-1007,27687,28637
2021-02-14,A-1008,24071,20853
2021-02-15,A-1001,20409,27936
2021-02-15,A-1002,34270,21781
2021-02-15,A-1003,23491,30557
2021-02-15,A-1004,34747,28305
2021-02-15,A-1005,28935,32056
2021-02-15,A-1006,34548,34427
2021-02-15,A-1007,24215,28016
2021-02-15,A-1008,24248,21995
2021-02-16,A-1001,33572,34878
2021-02-16,A-1002,33047,32061
2021-02-16,A-1003,20860,32929
2021-02-16,A-1004,20352,20712
2021-02-16,A-1005,28864,33000
2021-02-16,A-1006,25475,32212
2021-02-16,A-1007,29905,33372
2021-02-16,A-1008,25137,24767
2021-02-17,A-1001,34631,33196
2021-02-17,A-1002,25906,33159
2021-02-17,A-1003,34384,33206
2021-02-17,A-1004,32421,26774
2021-02-17,A-1005,29501,27642
2021-02-17,A-1006,29089,34527
2021-02-17,A-1007,34702,34649
2021-02-17,A-1008,20143,34757
2021-02-18,A-1001,27707,24582
2021-02-18,A-1002,32348,30546
2021-02-18,A-1003,34016,31059
2021-02-18,A-1004,33332,27325
2021-02-18,A-1005,33357,32272
2021-02-18,A-1006,23655,28535
2021-02-18,A-1007,24110,22230
2021-02-18,A-1008,24571,34597
2021-02-19,A-1001,20655,33667
2021-02-19,A-1002,28997,24458
2021-02-19,A-1003,34096,31669
2021-02-19,A-1004,31760,27094
2021-02-19,A-1005,21872,20224
2021-02-19,A-1006,30452,31201
2021-02-19,A-1007,25435,31316
2021-02-19,A-1008,34745,23507
2021-02-20,A-1001,34509,28738
2021-02-20,A-1002,23592,24435
2021-02-20,A-1003,25672,21198
2021-02-20,A-1004,23808,21777
2021-02-20,A-1005,20997,23559
2021-02-20,A-1006,29224,27171
2021-02-20,A-1007,28717,34469
2021-02-20,A-1008,27065,22643
2021-02-21,A-1001,21482,20794
2021-02-21,A-1002,31334,25594
2021-02-21,A-1003,28043,25268
2021-02-21,A-1004,33389,31041
2021-02-21,A-1005,26318,25069
2021-02-21,A-1006,27121,21195
2021-02-21,A-1007,27681,30465
2021-02-21,A-1008,20406,34772
2021-02-22,A-1001,34738,25875
2021-02-22,A-1002,23218,32420
2021-02-22,A-1003,28321,33442
2021-02-22,A-1004,27548,20339
2021-02-22,A-1005,31996,31661
2021-02-22,A-1006,26885,23552
2021-02-22,A-1007,29015,22472
2021-02-22,A-1008,30213,22372
2021-02-23,A-1001,33078,24677
2021-02-23,A-1002,22608,28313
2021-02-23,A-1003,22537,24513
2021-02-23,A-1004,29642,23971
2021-02-23,A-1005,23972,26120
2021-02-23,A-1006,20826,23109
2021-02-23,A-1007,29428,24375
2021-02-23,A-1008,26510,26704
2021-02-24,A-1001,32589,28751
2021-02-24,A-1002,23379,29199
2021-02-24,A-1003,25115,26021
2021-02-24,A-1004,30095,27052
2021-02-24,A-1005,34956,34812
2021-02-24,A-1006,28874,26383
2021-02-24,A-1007,24900,22504
2021-02-24,A-1008,23740,34164
2021-02-25,A-1001,30377,34607
2021-02-25,A-1002,27413,28556
2021-02-25,A-1003,21285,32746
2021-02-25,A-1004,23224,23480
2021-02-25,A-1005,22070,32885
2021-02-25,A-1006,22839,33852
2021-02-25,A-1007,24487,25422
2021-02-25,A-1008,24575,26477
2021-02-26,A-1001,23863,22025
2021-02-26,A-1002,31888,26827
2021-02-26,A-1003,31024,29741
2021-02-26,A-1004,22626,20981
2021-02-26,A-1005,31481,29207
2021-02-26,A-1006,25047,24166
2021-02-26,A-1007,34049,22204
2021-02-26,A-1008,21024,25064
2021-02-27,A-1001,34216,23698
2021-02-27,A-1002,25507,25629
2021-02-27,A-1003,25294,30344
2021-02-27,A-1004,31991,22395
2021-02-27,A-1005,27736,21261
2021-02-27,A-1006,21082,33478
2021-02-27,A-1007,27367,20621
2021-02-27,A-1008,22754,29394
2021-02-28,A-1001,33298,24741
2021-02-28,A-1002,29971,33149
2021-02-28,A-1003,34820,22005
2021-02-28,A-1004,25237,29621
2021-02-28,A-1005,21052,23130
2021-02-28,A-1006,32520,31067
2021-02-28,A-1007,26628,34903
2021-02-28,A-1008,34496,21713
2021-03-01,A-1001,34516,29932
2021-03-01,A-1002,32428,26813
2021-03-01,A-1003,28149,32202
2021-03-01,A-1004,27870,26431
2021-03-01,A-1005,33652,21681
2021-03-01,A-1006,34046,32835
2021-03-01,A-1007,26245,24948
2021-03-01,A-1008,30126,23581
2021-03-02,A-1001,34622,33436
2021-03-02,A-1002,28020,34034
2021-03-02,A-1003,21633,23512
2021-03-02,A-1004,25468,26677
2021-03-02,A-1005,25514,33898
2021-03-02,A-1006,28068,21017
2021-03-02,A-1007,21999,34401
2021-03-02,A-1008,23815,25847
2021-03-03,A-1001,21059,28779
2021-03-03,A-1002,32564,25161
2021-03-03,A-1003,34669,24976
2021-03-03,A-1004,32263,33463
2021-03-03,A-1005,32017,22557
2021-03-03,A-1006,30583,24254
2021-03-03,A-1007,23501,21513
2021-03-03,A-1008,27754,34419
2021-03-04,A-1001,22945,25596
2021-03-04,A-1002,21433,27370
2021-03-04,A-1003,33080,20945
2021-03-04,A-1004,24979,27486
2021-03-04,A-1005,32779,29808
2021-03-04,A-1006,23553,25183
2021-03-04,A-1007,32887,24770
2021-03-04,A-1008,23853,20765
2021-03-05,A-1001,20987,32469
2021-03-05,A-1002,27324,33334
2021-03-05,A-1003,33925,31361
2021-03-05,A-1004,25104,26064
2021-03-05,A-1005,20269,26070
2021-03-05,A-1006,29433,24176
2021-03-05,A-1007,34844,20370
2021-03-05,A-1008,29287,21695
2021-03-06,A-1001,29480,31049
2021-03-06,A-1002,25973,21431
2021-03-06,A-1003,26080,30550
2021-03-06,A-1004,22535,24319
2021-03-06,A-1005,21116,32136
2021-03-06,A-1006,26589,29651
2021-03-06,A-1007,31323,33400
2021-03-06,A-1008,24014,25858
2021-03-07,A-1001,21744,33691
2021-03-07,A-1002,24818,23046
2021-03-07,A-1003,24332,30859
2021-03-07,A-1004,31643,33640
2021-03-07,A-1005,21501,23013
2021-03-07,A-1006,33892,24629
2021-03-07,A-1007,33276,32670
2021-03-07,A-1008,33334,20661
2021-03-08,A-1001,32042,33586
2021-03-08,A-1002,21600,29331
2021-03-08,A-1003,24242,22771
2021-03-08,A-1004,27149,22691
2021-03-08,A-1005,32762,31241
2021-03-08,A-1006,32059,20280
2021-03-08,A-1007,29758,33768
2021-03-08,A-1008,25724,24241
2021-03-09,A-1001,28823,21959
2021-03-09,A-1002,33197,31348
2021-03-09,A-1003,22285,22418
2021-03-09,A-1004,31198,26382
2021-03-09,A-1005,23191,33859
2021-03-09,A-1006,29381,26128
2021-03-09,A-1007,25310,27343
2021-03-09,A-1008,34393,30097
2021-03-10,A-1001,33150,30135
2021-03-10,A-1002,30562,25909
2021-03-10,A-1003,23930,20317
2021-03-10,A-1004,26370,21300
2021-03-10,A-1005,30326,33554
2021-03-10,A-1006,33282,29611
2021-03-10,A-1007,26339,25715
2021-03-10,A-1008,20149,23630
2021-03-11,A-1001,26539,28587
2021-03-11,A-1002,27351,33118
2021-03-11,A-1003,23717,30838
2021-03-11,A-1004,29386,23308
2021-03-11,A-1005,33926,30646
2021-03-11,A-1006,33909,23995
2021-03-11,A-1007,29167,24458
2021-03-11,A-1008,20091,34949
2021-03-12,A-1001,33148,20971
2021-03-12,A-1002,26194,30180
2021-03-12,A-1003,24076,32104
2021-03-12,A-1004,20466,28590
2021-03-12,A-1005,29235,33647
2021-03-12,A-1006,24098,32207
2021-03-12,A-1007,25011,24459
2021-03-12,A-1008,28220,30353
2021-03-13,A-1001,22800,28784
2021-03-13,A-1002,34617,28614
2021-03-13,A-1003,22735,22172
2021-03-13,A-1004,34878,26141
2021-03-13,A-1005,26175,21040
2021-03-13,A-1006,33814,30382
2021-03-13,A-1007,34971,22727
2021-03-13,A-1008,28610,28955
2021-03-14,A-1001,33479,29595
2021-03-14,A-1002,34965,23399
2021-03-14,A-1003,26552,24992
2021-03-14,A-1004,26273,32535
2021-03-14,A-1005,34840,29445
2021-03-14,A-1006,26132,33530
2021-03-14,A-1007,34748,23663
2021-03-14,A-1008,29061,33030
2021-03-15,A-1001,23722,29402
2021-03-15,A-1002,34219,32830
2021-03-15,A-1003,31604,34295
2021-03-15,A-1004,21231,30107
2021-03-15,A-1005,28913,29224
2021-03-15,A-1006,23124,29153
2021-03-15,A-1007,24643,26045
2021-03-15,A-1008,21777,24074
2021-03-16,A-1001,29322,32026
2021-03-16,A-1002,22561,29852
2021-03-16,A-1003,21542,21063
2021-03-16,A-1004,26454,33725
2021-03-16,A-1005,29390,30602
2021-03-16,A-1006,22988,22672
2021-03-16,A-1007,32779,26504
2021-03-16,A-1008,33153,33161
2021-03-17,A-1001,30822,33264
2021-03-17,A-1002,29638,28683
2021-03-17,A-1003,34664,26876
2021-03-17,A-1004,24803,28082
2021-03-17,A-1005,30118,22689
2021-03-17,A-1006,27252,25630
2021-03-17,A-1007,30563,32465
2021-03-17,A-1008,27860,31966
2021-03-18,A-1001,27868,32966
2021-03-18,A-1002,33399,31035
2021-03-18,A-1003,27924,26634
2021-03-18,A-1004,24498,27170
2021-03-18,A-1005,34518,21450
2021-03-18,A-1006,24068,32403
2021-03-18,A-1007,22467,26348
2021-03-18,A-1008,30581,28724
2021-03-19,A-1001,27089,29323
2021-03-19,A-1002,26520,32853
2021-03-19,A-1003,26841,31215
2021-03-19,A-1004,27425,30616
2021-03-19,A-1005,23045,32226
2021-03-19,A-1006,34664,25144
2021-03-19,A-1007,20274,21168
2021-03-19,A-1008,20187,21729
2021-03-20,A-1001,30978,31896
2021-03-20,A-1002,22566,29561
2021-03-20,A-1003,25183,26416
2021-03-20,A-1004,31099,22212
2021-03-20,A-1005,32786,24602
2021-03-20,A-1006,34953,22829
2021-03-20,A-1007,21750,33108
2021-03-20,A-1008,28312,31396
2021-03-21,A-1001,30972,28484
2021-03-21,A-1002,26903,21532
2021-03-21,A-1003,24852,27754
2021-03-21,A-1004,33756,27191
2021-03-21,A-1005,29263,32851
2021-03-21,A-1006,26670,28149
2021-03-21,A-1007,21029,25093
2021-03-21,A-1008,28944,25152
2021-03-22,A-1001,23358,26756
2021-03-22,A-1002,31469,20341
2021-03-22,A-1003,33385,28378
2021-03-22,A-1004,23335,34345
2021-03-22,A-1005,27702,29636
2021-03-22,A-1006,24553,21775
2021-03-22,A-1007,21508,31149
2021-03-22,A-1008,24990,23430
2021-03-23,A-1001,32165,20771
2021-03-23,A-1002,34611,25360
2021-03-23,A-1003,33299,30255
2021-03-23,A-1004,34137,20845
2021-03-23,A-1005,32650,34947
2021-03-23,A-1006,26233,23174
2021-03-23,A-1007,25102,21797
2021-03-23,A-1008,32974,26571
2021-03-24,A-1001,34692,27799
2021-03-24,A-1002,22504,23720
2021-03-24,A-1003,27919,27055
2021-03-24,A-1004,25930,22963
2021-03-24,A-1005,27121,23432
2021-03-24,A-1006,32669,25055
2021-03-24,A-1007,31907,29277
2021-03-24,A-1008,20756,33193
2021-03-25,A-1001,25317,22638
2021-03-25,A-1002,25970,27989
2021-03-25,A-1003,25385,22530
2021-03-25,A-1004,26566,28147
2021-03-25,A-1005,32785,32206
2021-03-25,A-1006,22858,33171
2021-03-25,A-1007,27493,21650
2021-03-25,A-1008,33734,24740
2021-03-26,A-1001,22481,21926
2021-03-26,A-1002,32398,23206
2021-03-26,A-1003,28989,29635
2021-03-26,A-1004,20813,21476
2021-03-26,A-1005,24412,29905
2021-03-26,A-1006,24024,31700
2021-03-26,A-1007,29340,21879
2021-03-26,A-1008,20547,34790
2021-03-27,A-1001,25819,23215
2021-03-27,A-1002,28462,30476
2021-03-27,A-1003,24684,23300
2021-03-27,A-1004,34695,24540
2021-03-27,A-1005,29813,32799
2021-03-27,A-1006,31902,20551
2021-03-27,A-1007,29529,25817
2021-03-27,A-1008,31249,32475
2021-03-28,A-1001,28444,26448
2021-03-28,A-1002,34761,28671
2021-03-28,A-1003,24871,23934
2021-03-28,A-1004,29809,21994
2021-03-28,A-1005,23273,30141
2021-03-28,A-1006,33630,25393
2021-03-28,A-1007,20228,20591
2021-03-28,A-1008,23828,21016
2021-03-29,A-1001,22425,34490
2021-03-29,A-1002,29468,20821
2021-03-29,A-1003,29914,21611
2021-03-29,A-1004,24738,31447
2021-03-29,A-1005,20871,28193
2021-03-29,A-1006,22820,20863
2021-03-29,A-1007,33538,23189
2021-03-29,A-1008,34942,29930
2021-03-30,A-1001,22200,20713
2021-03-30,A-1002,30203,24227
2021-03-30,A-1003,33141,27336
2021-03-30,A-1004,23504,33091
2021-03-30,A-1005,20076,34376
2021-03-30,A-1006,27598,26200
2021-03-30,A-1007,32099,27949
2021-03-30,A-1008,22624,29653
2021-03-31,A-1001,22939,29849
2021-03-31,A-1002,27015,28644
2021-03-31,A-1003,30764,21955
2021-03-31,A-1004,24559,32877
2021-03-31,A-1005,30867,29140
2021-03-31,A-1006,34320,33300
2021-03-31,A-1007,20118,30833
2021-03-31,A-1008,23223,23286
2021-04-01,A-1001,24636,32326
2021-04-01,A-1002,27172,29749
2021-04-01,A-1003,33950,27659
2021-04-01,A-1004,26776,20773
2021-04-01,A-1005,28453,34852
2021-04-01,A-1006,21375,30308
2021-04-01,A-1007,21407,20494
2021-04-01,A-1008,34980,29088
2021-04-02,A-1001,27029,24374
2021-04-02,A-1002,34546,30649
2021-04-02,A-1003,20417,25999
2021-04-02,A-1004,27575,25338
2021-04-02,A-1005,20000,27002
2021-04-02,A-1006,30805,29107
2021-04-02,A-1007,21648,22418
2021-04-02,A-1008,24129,34588
2021-04-03,A-1001,26655,20812
2021-04-03,A-1002,21408,27829
2021-04-03,A-1003,33671,33588
2021-04-03,A-1004,28114,28566
2021-04-03,A-1005,33169,25547
2021-04-03,A-1006,23355,20603
2021-04-03,A-1007,28132,28832
2021-04-03,A-1008,20801,31656
2021-04-04,A-1001,31957,34873
2021-04-04,A-1002,33484,20967
2021-04-04,A-1003,33374,30491
2021-04-04,A-1004,33543,24707
2021-04-04,A-1005,34879,28739
2021-04-04,A-1006,26562,32255
2021-04-04,A-1007,20907,26708
2021-04-04,A-1008,29996,20522
2021-04-05,A-1001,34053,33512
2021-04-05,A-1002,21744,28440
2021-04-05,A-1003,21243,23023
2021-04-05,A-1004,25360,24002
2021-04-05,A-1005,28626,23992
2021-04-05,A-1006,24468,25148
2021-04-05,A-1007,32596,32971
2021-04-05,A-1008,24243,24002
2021-04-06,A-1001,27608,22645
2021-04-06,A-1002,25733,34151
2021-04-06,A-1003,25614,33861
2021-04-06,A-1004,26305,25376
2021-04-06,A-1005,20012,21997
2021-04-06,A-1006,26613,20495
2021-04-06,A-1007,26389,22155
2021-04-06,A-1008,27438,33292
2021-04-07,A-1001,31554,22882
2021-04-07,A-1002,23895,26533
2021-04-07,A-1003,29337,30290
2021-04-07,A-1004,21453,33075
2021-04-07,A-1005,26110,27839
